clob_token_ids                                                                                                                                                           , cosine_similarity
"[""91072051335534569036631525786043005843310008467930421146114648703628473446696"",""93467345580072941416743494358778432936042820989788747507231843008868004958165""]"  , 0.7701809284647381
"[""55214467056666747655533436499936424574734476284409703831385732503436728082773"",""101345095261639287686326321165307329563286252573452527237500468714748213587044""]" , 1.0
"[""460233965230927276602872250576687970388541998429301311180746048071452760616"",""72429717825825728941356465332069176021722350397966468205695838737002050593084""]"    , 0.325960195529151
"[""41187562993059102608087772164072827153068892098458586396016648766749283824064"",""28035782704830977746792519428058891521357821754216271691984485301597741284100""]"  , 0.7870142879419556
"[""51610213238310688969134549721024491977669227097323222471439162155601024610268"",""6774874402629029300472358113676010387029781717669176269836896682439462555750""]"   , 0.7831744317153128
"[""112580571729122509376599319721242581353372495978857993538090077859887400045334"",""5502154794294561091176993625627527547899620345515688794176493172392642216862""]"  , 0.6808916940487435
"[""100152371899409859992469872200386805553163257410034867423074275706228253627208"",""104856882317866166379316158418492007271535464909962202119191073598479709746467""]", 0.6791275548136912
"[""45429668890056162364307617807576387840293305143387096943585488315586563658159"",""63147276005126770880954125047261230986291997315680909701649556277988435329355""]"  , 0.7618132404966803
"[""77809380206760496358055332023206786694120788116551923604170177964424180121482"",""106318720808383838350232661991142011357620427939736042423455604487806219988373""]" , 1.0
"[""767313090619807826078795132250383167293948459067280703809263365919638960162"",""10153831923325880603381379908339829878083120649911689146876869023280998215166""]"    , 1.0
"[""72304052873611261335260464672644781804557218671425470569977240802446584805659"",""11081619591501953852528312348772244656084481473875428225808210773881723232493""]"  , 1.0
"[""6478474356831359523032969262014082686922886129187075898439624325202312555669"",""36378311265709846060859255962129667010780913173065483696749977329500251096213""]"   , 1.0
"[""58258390069175430583739342934793095317247919459371029992606946923807586356465"",""31370790514255476984753308706114064577144633848443373130192326257576637404536""]"  , 1.0
"[""2994355092890753835421952142336847942524552167232147341214694471416589146406"",""115633171192844413829178933967688137861383199420540398213776179560955354413016""]"  , 1.0
"[""44886357497369339177580271791720477811065694497180931209010490077664816924500"",""58110665970171303414104915811848294579601964760432008347268233947906059538976""]"  , 0.934807657188156
"[""62938828492628508014637251637585127609370676891193427146079523555384485828112"",""32186691405851741937134309155066383753472903237868490963319895307708498015675""]"  , 0.8878972636613942
"[""66785357330647705111643416216710142903475197962310591247578036555098564560967"",""60437447821144114446513350656077797351838995378312351449723154046070701077588""]"  , 0.8878972636613942
"[""3187619774103815401989104105090562384823092055891401921060542494677766269804"",""7947521479815490556018713500318743936553537976363237648691031200579833825025""]"    , 1.0
"[""61910707904281996505161127224246612383514863738836979998312851822585274706349"",""16196962290405878888666658864308609484308422667663114818829644282004091839476""]"  , 1.0
"[""83222070317388442532274647342051196715216053104933549999785501358606627621161"",""43117600804810035470296813919449329039645615634425191119353709740770088758457""]"  , 1.0
"[""61206972151251876144604293020080604222328714471900617903057651992345445705297"",""93668226216131104283354032163235291342189362223075298572611739609833832082351""]"  , 0.9999999999999998
"[""88916808664046224326757445357286864629666742099689024587137248520524930555005"",""33765827603189435874489860244475902050655017860447392263494215869340987516142""]"  , 1.0
"[""57067719256616857137938990326093903170053906691638706259598156599840250775346"",""47319279464284208645195372227401992250674667232069486692683716069530804439128""]"  , 1.0
"[""97074613377364157146536275618954700131815815082975930040025951399535510211743"",""29757683089125131854278711382173326661055338509428068229468982779247847262156""]"  , 1.0
"[""84527066388111912425288008602811350191126153101911595679630810185820390654202"",""36850984581479292051875213180000920481442823474557331452742191995191886560311""]"  , 1.0
"[""13718765479856259420691746716226287833059571527959684553039159664601795005525"",""42986685997323159916238155847512989934163499175392639021077012166434925462231""]"  , 1.0
"[""21098878518550918577029442261307646540318544652821752445093598266197382139217"",""85796882826004572735221926369546492564935212983908060396766512806437379900953""]"  , 1.0
"[""104716095803130736310078911593969013629118059642132355839691164865619488057294"",""27246244429647572512779960472275759094133574988084203609984599466149827751714""]" , 1.0
"[""15404273135460198936681172574249561190643458649150838755553511118708507370686"",""35330254933701489047401837334041646193036718081372988178618035298967559732855""]"  , 1.0
"[""114143552232719777271227815999686326483032207634989652712593588125140631174786"",""84470704732360873522905129048620546298750807614862862918358737795068875599177""]" , 1.0
"[""86064135232471346619133318540466895004407877184862039933593942950300287448250"",""114356534705786272618065624048249324553795164094617490113205222910605417789216""]" , 1.0
"[""26400080914353717825164535172852152218307205367782177320628813153770947661147"",""106108748173868274585572933158072703700594263582753101658047439839580454049190""]" , 1.0
"[""16971068639386640502659657646781431904217162229211786665483266631137687560030"",""64802821849525198654594823838587160795688367705370150005583834569110585243022""]"  , 1.0
"[""1957967982198906541602151427829676498454654437543616372720941344253767314713"",""38431667096858127059709125406238641505213119973736715328032699950837107906467""]"   , 1.0
"[""24564370196243731625134701306074941006827353525377545649875720627630933856344"",""43290439791671547644190322562661773398573634595833319115861841361363259737072""]"  , 1.0
